Movie_id,collection_name,poster_path,backdrop_path
862,Toy Story Collection,/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg,/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg
15602,Grumpy Old Men Collection,/nLvUdqgPgm3F85NMCii9gVFUcet.jpg,/hypTnLot2z8wpFS7qwsQHW1uV8u.jpg
11862,Father of the Bride Collection,/nts4iOmNnq7GNicycMJ9pSAn204.jpg,/7qwE57OVZmMJChBpLEbJEmzUydk.jpg
710,James Bond Collection,/HORpg5CSkmeQlAolx3bKMrKgfi.jpg,/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg
21032,Balto Collection,/w0ZgH6Lgxt2bQYnf1ss74UvYftm.jpg,/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg
9273,Ace Ventura Collection,/qCxH543pScFed1CycwJ1nVgrkOc.jpg,/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg
8012,Chili Palmer Collection,/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg,/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg
9598,Babe Collection,/jgnah0k4AumfcZE4HHMJywYHvG6.jpg,/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg
9312,Mortal Kombat Collection,/nauCllomdtyciLCRcVrSJKcJQbn.jpg,/qD3efz57VGNywAN4lTvgz3FHnBb.jpg
10530,Pocahontas Collection,/s4RkDe4AjwyrlltdF6Ui7INlME6.jpg,/qqeOxNmtAW7WXdbrmQftgluvve7.jpg
11525,The Lawnmower Man Collection,/slBKrKBbL1g3KURphhAYIyOOH0G.jpg,/id05z92s8Pwc2wbR9YAKngGqOyP.jpg
10634,Friday Collection,/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg,/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg
755,From Dusk Till Dawn Collection,/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg,/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg
9102,Screamers Collection,/vtCuIaQvK3IyLENmuc73RFm4TU7.jpg,
10874,The Muppet Collection,/8Ew8EIdFFurMMYjSbWPu1Hl4vLX.jpg,/1AWd3MM90G47mxtD112gRDxSXY9.jpg
27793,The Neverending Story Collection,/tXuOhgEbXoba7vVIybzGlnycoNq.jpg,/2IqXJIR1i0f6Ngq3A6rjXhQNqFc.jpg
9737,Bad Boys Collection,/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg,/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg
414,Batman Collection,/adQxUvQW8HXNsvMG5aj71pHh9T.jpg,/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg
5894,Brooklyn Cigar Store Collection,/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg,/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg
8839,Casper Collection,/nWKbJAOFwJlJm24dTovfQuUJOc2.jpg,
8068,Mexico Trilogy,/qmPhILSFQKaRyc81mVJWl05tHai.jpg,/6p1OzuIKWnTDfDea7IpB9xra5J.jpg
1572,Die Hard Collection,/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg,/5kHVblr87FUScuab1PVSsK692IL.jpg
13552,Teenage Apocalypse Trilogy,/kSLUbpxgcHErkaUc0nB193Nph6Y.jpg,/3pzDZR85GPgdC6b4HwHqzqeEDfB.jpg
9073,Free Willy Collection,/3M2Q9ZDTyFBfi3ohz2gizFmnoL0.jpg,/aef15QAJ8Kxbh8W5zXqJb1f9Vhw.jpg
9070,Power Rangers Collection,/zyHCzQUkgaemgCMEplqAqsp83SA.jpg,/ddGPthtIvNM2f8qBAyxa5GSKskK.jpg
1642,Síť (kolekce),/k8HvmCUbKHBbTJoe7hJQapQd5Uy.jpg,/5j4HxayNgcAgGStNKqPxM0QNC7V.jpg
11980,The Prophecy Collection,/pU4wvBeirFDNk8rs9tsGZLa7Kyb.jpg,
10802,Showgirls Collection,/lXpCjeuKtzkckXkam8sgOaaTOhc.jpg,/nKMLBnDGCPdHipJs0Xk8NzNmLFS.jpg
10149,Brooklyn Cigar Store Collection,/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg,/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg
9348,Species Collection,/t5J0JH1L8L7CmtC3sL3K2ybgTbE.jpg,/vnpcoCTZhg1EdEog1kAS0pklx1o.jpg
3512,Under Siege Collection,/5hkZdonGNmoqatnadpDnIgEbrho.jpg,/4Ysa3x4wDwolRpUXBCrig7szGon.jpg
50797,Burnt by the Sun Trilogy,/prqpHdXvfzz8uYwGPaHj62XfJ1H.jpg,/h062iMfHieuKdeujaSZBmdYlgRw.jpg
76,Before... Collection,/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg,/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg
2292,Clerks Collection,/qEjGvJ9I2ak6ENjdJ23dfjqLkAK.jpg,/6Fjkbh2DVAvVZa3c1HamblAN5Bg.jpg
8467,Dumb and Dumber Collection,/fdB86tl7SKIBWZzm0CbrYjOdE1K.jpg,/saUnj5K6buVafDfLfTozDH2eqdC.jpg
15789,A Goofy Movie Collection,/4AkuuP5ljZMsAhzVnpzIXPSmDoy.jpg,/yiLa63gIb7EGH9BbUWXHwI6PMmx.jpg
628,The Vampire Chronicles,/1Iop0dywqQeD5Mm7oRVR8vZ8gkj.jpg,/5margBoJC97ZrciVpAUc0PiY6Rc.jpg
11,Star Wars Collection,/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg,/d8duYyyC9J5T825Hg7grmaabfxQ.jpg
63105,Nemesis Collection,/nKAGlTL97Sp1zIy3f6rGEqjyjGG.jpg,
527,Once were Warriors Collection,,
18220,Poison Ivy Collection,/wKFflwLibrLXg7U8hcXnzGyziXz.jpg,/hFktEH1hJsf4kzTnYjJB8rMiJpl.jpg
110,Three Colors Collection,/rVdd23QuT5rHX7lZvuAkRRUkeCZ.jpg,/AeHExfHIl70SZCea907KfEoSkfJ.jpg
108,Three Colors Collection,/rVdd23QuT5rHX7lZvuAkRRUkeCZ.jpg,/AeHExfHIl70SZCea907KfEoSkfJ.jpg
109,Three Colors Collection,/rVdd23QuT5rHX7lZvuAkRRUkeCZ.jpg,/AeHExfHIl70SZCea907KfEoSkfJ.jpg
22586,Swan Princess Series,/3qBPAUFUMOOT9KqUEYXWAKy93Ge.jpg,/wxKt5KHvMYUSLHvyPf2xj64y3dJ.jpg
11395,The Santa Clause Collection,/1h8iA6i2DpPhsHC65nUB2voVnm5.jpg,/jQiwVHJN1rsS4DqhF7hlYZTYCH.jpg
9059,Tales from the Crypt Collection,/mjP1Ktqz3VCyX2akRAIjgxaALwx.jpg,/o9Nll2BovcZ9EDmBBMmnHx99wP4.jpg
193,Star Trek: The Next Generation Collection,/sddV6vaUC6x37icJS3opIXTXB07.jpg,/r7MMQenUURHhAVHFymtOb8AX4Bm.jpg
3049,Ace Ventura Collection,/qCxH543pScFed1CycwJ1nVgrkOc.jpg,/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg
9331,The Jack Ryan Collection,/uCuiExsQDyJagov5aVAyw38YEm.jpg,/qYlcVBifq5T4wyWV00a5Awq0kUi.jpg
9495,The Crow Collection,/kfU8OZptlBfR5DL9LNGL301Zmlz.jpg,/6sGKUZfV4g5d2LT4CsG89o0416W.jpg
888,The Flintstones (Live-Action) Collection,/v70Luw2mGhib4s0Osw7Ux8rQgBt.jpg,/qD0rip0E8EcRcjCPcdu5wUknLZJ.jpg
8587,The Lion King Collection,/oG1heUs503GV6xBnFhgyYTGWm05.jpg,/A9IEaj9cPAwEgFnTmteB70oxgJY.jpg
11596,A Nightmare on Elm Street Collection,/BcgmrOz69AUBRukw5LLGeYsOgo.jpg,/xDScJToK3YDTZmxNqQ0hFTObeXq.jpg
854,The Mask Collection,/pl2vNt9XlxITTgm8wCQ2Y6ThkpT.jpg,/ucDNm5TJW1ji7kIjnX2SZYm7ATM.jpg
36593,Naked Gun Collection,/qTJ2fbdU2Ru4OGZghQB8MYofkrN.jpg,/jxSnW02zjKtFnXFK2UzcLH8Ced2.jpg
11011,Richie Rich Collection,,
1637,Speed Collection,/9poztwq7SXjEETRdWXcJsl58kxV.jpg,/75mSNcKIkfZSjXDgytC8UFe6vBl.jpg
8831,Timecop Collection,/7MzxlFFswI2OB7PifjnyMrrYke5.jpg,/mIqsp7AFmyTYjJ4N9qv3FhAUz60.jpg
11667,Street Fighter,/srmcIOxfqARcnHmgHLVNzzFM2RV.jpg,/u5w0uNoQDqUkmErqMsh4RVVOgyy.jpg
75555,Fear Collection,,
