Movie_id,short_language,language
862,en,English
8844,en,English
15602,fr,Français
31357,en,English
11862,en,English
949,en,English
11860,en,English
45325,es,Español
9091,fr,Français
710,en,English
9087,en,English
12110,de,Deutsch
21032,en,English
10858,en,English
1408,ru,Pусский
524,es,Español
4584,en,English
5,en,English
9273,de,Deutsch
11517,en,English
8012,en,English
1710,en,English
9691,la,Latin
12665,en,English
451,en,English
16420,en,English
9263,en,English
17015,en,English
902,en,English
37557,en,English
9909,de,Deutsch
63,en,English
78802,es,Español
9598,nl,Nederlands
47018,en,English
687,en,English
139405,en,English
33689,en,English
9603,en,English
34615,cn,广州话 / 廣州話
31174,fr,Français
11443,zh,普通话
35196,en,English
9312,en,English
577,fr,Français
11861,en,English
807,en,English
10530,en,English
8391,en,English
629,ru,Pусский
117164,en,English
11448,en,English
49133,es,Español
26441,en,English
97406,en,English
124057,en,English
9089,en,English
11010,en,English
99040,es,Español
11359,en,English
17182,en,English
2054,en,English
10607,en,English
19760,en,English
9536,en,English
11525,es,Español
40628,en,English
4482,fr,Français
10634,hu,Magyar
755,,
11859,en,English
28387,sq,shqip
48750,it,Italiano
20927,en,English
36929,de,Deutsch
9102,en,English
124626,en,English
27526,en,English
9623,es,Español
46785,it,Italiano
400,es,Español
880,en,English
146599,fr,Français
188588,en,English
8447,en,English
10534,fr,Français
17414,ko,한국어/조선말
13997,es,Español
2086,en,English
61548,en,English
9095,es,Español
12158,en,English
9283,en,English
9208,ru,Pусский
40154,en,English
406,hu,Magyar
45549,en,English
63076,fr,Français
11062,es,Español
13685,en,English
47475,en,English
2045,es,Español
9614,en,English
688,es,Español
11907,en,English
10874,fr,Français
89333,en,English
96357,en,English
197,en,English
103,de,Deutsch
33542,en,English
43566,en,English
71754,en,English
43612,fa,فارسی
51352,en,English
16934,nl,Nederlands
10324,en,English
78406,,
55731,en,English
32119,da,Dansk
11066,en,English
11104,fr,Français
37975,de,Deutsch
2074,en,English
27793,fr,Français
44284,ru,Pусский
290157,en,English
110972,en,English
32622,en,English
73067,en,English
11863,en,English
55475,en,English
124636,en,English
9101,en,English
