title,popularity_fixed,genero1,genero2,genero3,cluster,genres
Toy Story,30.0,Animation,Comedy,Family,0,Animation Comedy Family
Jumanji,65.0,Adventure,Fantasy,Family,-1,Adventure Fantasy Family
Grumpier Old Men,0.0,Romance,Comedy,,0,Romance Comedy
Waiting to Exhale,16.0,Comedy,Drama,Romance,1,Comedy Drama Romance
Father of the Bride Part II,0.0,Comedy,,,0,Comedy
Heat,60.0,Action,Crime,Drama,0,Action Crime Drama
Sabrina,58.0,Comedy,Romance,,2,Comedy Romance
Tom and Huck,0.0,Action,Adventure,Drama,0,Action Adventure Drama
Sudden Death,35.0,Action,Adventure,Thriller,0,Action Adventure Thriller
GoldenEye,58.0,Adventure,Action,Thriller,-1,Adventure Action Thriller
The American President,62.0,Comedy,Drama,Romance,0,Comedy Drama Romance
Dracula: Dead and Loving It,0.0,Comedy,Horror,,0,Comedy Horror
Balto,0.0,Family,Animation,Adventure,-1,Family Animation Adventure
Nixon,44.0,History,Drama,,-1,History Drama
Cutthroat Island,98.0,Action,Adventure,,3,Action Adventure
Casino,52.0,Drama,Crime,,-1,Drama Crime
Sense and Sensibility,16.5,Drama,Romance,,4,Drama Romance
Four Rooms,4.0,Crime,Comedy,,5,Crime Comedy
Ace Ventura: When Nature Calls,30.0,Crime,Comedy,Adventure,0,Crime Comedy Adventure
Money Train,60.0,Action,Comedy,Crime,0,Action Comedy Crime
Get Shorty,30.25,Comedy,Thriller,Crime,-1,Comedy Thriller Crime
Copycat,0.0,Drama,Thriller,,-1,Drama Thriller
Assassins,50.0,Action,Adventure,Crime,-1,Action Adventure Crime
Powder,0.0,Drama,Fantasy,Science,-1,Drama Fantasy Science
Leaving Las Vegas,3.6,Drama,Romance,,0,Drama Romance
Othello,0.0,Drama,,,6,Drama
Now and Then,12.0,Comedy,Drama,Family,-1,Comedy Drama Family
Persuasion,0.0,Drama,Romance,,-1,Drama Romance
The City of Lost Children,18.0,Fantasy,Science,Fiction,0,Fantasy Science Fiction
Shanghai Triad,0.0,Drama,Crime,,-1,Drama Crime
Dangerous Minds,0.0,Drama,Crime,,0,Drama Crime
Twelve Monkeys,29.5,Science,Fiction,Thriller,-1,Science Fiction Thriller
Wings of Courage,0.0,Romance,Adventure,,0,Romance Adventure
Babe,30.0,Fantasy,Drama,Comedy,0,Fantasy Drama Comedy
Carrington,0.0,History,Drama,Romance,-1,History Drama Romance
Dead Man Walking,11.0,Drama,,,0,Drama
Across the Sea of Time,0.0,Adventure,History,Drama,0,Adventure History Drama
It Takes Two,0.0,Comedy,Family,Romance,0,Comedy Family Romance
Clueless,12.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
"Cry, the Beloved Country",0.0,Drama,,,0,Drama
Richard III,0.0,Drama,War,,0,Drama War
Dead Presidents,10.0,Action,Crime,Drama,0,Action Crime Drama
Restoration,19.0,Drama,Romance,,-1,Drama Romance
Mortal Kombat,18.0,Action,Fantasy,,7,Action Fantasy
To Die For,20.0,Fantasy,Drama,Comedy,0,Fantasy Drama Comedy
How To Make An American Quilt,10.0,Drama,Romance,,0,Drama Romance
Se7en,33.0,Crime,Mystery,Thriller,-1,Crime Mystery Thriller
Pocahontas,55.0,Adventure,Animation,Drama,-1,Adventure Animation Drama
When Night Is Falling,0.0,Drama,Romance,,0,Drama Romance
The Usual Suspects,6.0,Drama,Crime,Thriller,-1,Drama Crime Thriller
Guardian Angel,0.0,Action,Thriller,Drama,8,Action Thriller Drama
Mighty Aphrodite,15.0,Comedy,Romance,,0,Comedy Romance
Lamerica,0.0,Drama,Foreign,,-1,Drama Foreign
The Big Green,0.0,Action,Adventure,Comedy,0,Action Adventure Comedy
Georgia,0.0,Drama,,,-1,Drama
Kids of the Round Table,0.0,,,,0,
Home for the Holidays,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
The Postman,0.0,Comedy,Drama,Romance,9,Comedy Drama Romance
The Confessional,0.0,Thriller,Drama,Mystery,-1,Thriller Drama Mystery
The Indian in the Cupboard,45.0,Adventure,Family,Fantasy,-1,Adventure Family Fantasy
Eye for an Eye,20.0,Drama,Thriller,,0,Drama Thriller
Mr. Holland's Opus,0.0,Music,Drama,Family,0,Music Drama Family
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.0,Comedy,,,-1,Comedy
Two If by Sea,0.0,Comedy,Romance,,0,Comedy Romance
Bio-Dome,15.0,Comedy,,,-1,Comedy
Lawnmower Man 2: Beyond Cyberspace,0.0,Action,Science,Fiction,0,Action Science Fiction
Two Bits,0.0,Drama,Family,,-1,Drama Family
French Twist,0.0,Comedy,Romance,,0,Comedy Romance
Friday,3.5,Comedy,,,0,Comedy
From Dusk Till Dawn,19.0,Horror,Action,Thriller,-1,Horror Action Thriller
Fair Game,50.0,Action,Thriller,Romance,0,Action Thriller Romance
Kicking and Screaming,0.0,Comedy,Drama,Romance,10,Comedy Drama Romance
Les Miserables,0.0,Drama,History,,11,Drama History
Bed of Roses,0.0,Drama,Romance,,-1,Drama Romance
Big Bully,15.0,Comedy,Family,,0,Comedy Family
Screamers,20.0,Horror,Science,Fiction,-1,Horror Science Fiction
Nico Icon,0.0,Documentary,,,-1,Documentary
The Crossing Guard,0.0,Drama,Thriller,,0,Drama Thriller
The Juror,44.0,Drama,Thriller,,-1,Drama Thriller
The White Balloon,0.0,Family,Drama,,0,Family Drama
Things to Do in Denver When You're Dead,8.0,Drama,Crime,,0,Drama Crime
Antonia's Line,0.9,Drama,Comedy,,0,Drama Comedy
Once Upon a Time... When We Were Colored,0.0,Romance,Drama,,0,Romance Drama
Last Summer in the Hamptons,0.0,,,,0,
Angels and Insects,0.0,Drama,Romance,,0,Drama Romance
White Squall,38.0,Action,Drama,,0,Action Drama
Dunston Checks In,16.0,Adventure,Comedy,Family,-1,Adventure Comedy Family
Black Sheep,0.0,Comedy,,,0,Comedy
Nick of Time,8.169363,Crime,Drama,Thriller,0,Crime Drama Thriller
The Journey of August King,0.0,Drama,,,0,Drama
Mary Reilly,47.0,Drama,Horror,Thriller,0,Drama Horror Thriller
Vampire in Brooklyn,14.0,Comedy,Horror,Romance,12,Comedy Horror Romance
Beautiful Girls,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
Broken Arrow,50.0,Action,Adventure,Drama,13,Action Adventure Drama
A Midwinter's Tale,0.0,Comedy,,,14,Comedy
La Haine,3.0,Drama,,,15,Drama
Shopping,0.0,Action,Adventure,Drama,-1,Action Adventure Drama
Heidi Fleiss: Hollywood Madam,0.0,Documentary,,,0,Documentary
City Hall,0.0,Drama,Thriller,,0,Drama Thriller
Bottle Rocket,7.0,Comedy,Crime,Drama,16,Comedy Crime Drama
Mr. Wrong,0.0,Comedy,Romance,,0,Comedy Romance
Unforgettable,18.0,Drama,Mystery,Science,0,Drama Mystery Science
Happy Gilmore,12.0,Comedy,,,0,Comedy
The Bridges of Madison County,24.0,Drama,Romance,,17,Drama Romance
Nobody Loves Me,0.0,Drama,Comedy,Family,-1,Drama Comedy Family
Muppet Treasure Island,0.0,Action,Comedy,Music,3,Action Comedy Music
Catwalk,0.0,Documentary,,,-1,Documentary
Headless Body in Topless Bar,0.0,Crime,,,0,Crime
Braveheart,72.0,Action,Drama,History,-1,Action Drama History
Taxi Driver,1.3,Crime,Drama,,-1,Crime Drama
Rumble in the Bronx,7.5,Crime,Action,Comedy,14,Crime Action Comedy
Before and After,35.0,Drama,Thriller,,-1,Drama Thriller
Margaret's Museum,0.0,Drama,,,-1,Drama
Happiness Is in the Field,13.365,Comedy,,,0,Comedy
Anne Frank Remembered,0.0,Documentary,Drama,Foreign,18,Documentary Drama Foreign
The Young Poisoner's Handbook,0.0,Comedy,Crime,Drama,0,Comedy Crime Drama
If Lucy Fell,0.0,Comedy,Romance,,19,Comedy Romance
Steal Big Steal Little,25.0,Comedy,Drama,,0,Comedy Drama
Race the Sun,0.0,Action,Adventure,Comedy,0,Action Adventure Comedy
The Boys of St. Vincent,0.0,Drama,,,0,Drama
Boomerang,40.0,Comedy,Romance,,-1,Comedy Romance
