Movie_id,short_language
862,en
8844,en
15602,fr
31357,en
11862,en
949,en
11860,en
45325,es
9091,fr
710,en
9087,en
12110,de
21032,en
10858,en
1408,ru
524,es
4584,en
5,en
9273,de
11517,en
8012,en
1710,en
9691,la
12665,en
451,en
16420,en
9263,en
17015,en
902,en
37557,en
9909,de
63,en
78802,es
9598,nl
47018,en
687,en
139405,en
33689,en
9603,en
34615,cn
31174,fr
11443,zh
35196,en
9312,en
577,fr
11861,en
807,en
10530,en
8391,en
629,ru
117164,en
11448,en
49133,es
26441,en
97406,en
124057,en
9089,en
11010,en
99040,es
11359,en
17182,en
2054,en
10607,en
19760,en
9536,en
11525,es
40628,en
4482,fr
10634,hu
755,
11859,en
28387,sq
48750,it
20927,en
36929,de
9102,en
124626,en
27526,en
9623,es
46785,it
400,es
880,en
146599,fr
188588,en
8447,en
10534,fr
17414,ko
13997,es
2086,en
61548,en
9095,es
12158,en
9283,en
9208,ru
40154,en
406,hu
45549,en
63076,fr
11062,es
13685,en
47475,en
2045,es
9614,en
688,es
11907,en
10874,fr
89333,en
96357,en
197,en
103,de
33542,en
43566,en
71754,en
43612,fa
51352,en
16934,nl
10324,en
78406,
55731,en
32119,da
11066,en
11104,fr
37975,de
2074,en
27793,fr
44284,ru
290157,en
110972,en
32622,en
73067,en
11863,en
55475,en
124636,en
9101,en
123360,fr
5757,en
39428,en
124639,en
9302,es
11000,en
249882,en
16388,en
9737,en
30765,en
10474,de
22279,en
30157,en
568,
11780,en
34996,fr
414,la
649,gd
1873,en
5894,es
1775,cn
8839,en
20649,en
10329,fr
8963,de
26564,en
8068,fr
8512,en
1572,en
13552,en
259209,en
6520,en
9073,en
10428,fr
17447,en
9886,cn
9482,en
19326,ja
9344,zh
9071,it
8973,en
15730,en
47608,ar
2293,fr
9070,
68274,en
48787,en
34574,en
1642,en
11472,es
36196,en
11980,en
58372,en
32646,en
10533,en
56088,
10802,fr
10149,en
18402,fr
9348,en
139408,hr
281,bs
5967,en
79593,en
47939,de
36834,en
9090,en
3512,en
52856,en
77350,en
9560,en
9804,en
31611,fr
65796,mn
49805,es
26258,en
50797,en
19155,en
76,en
11017,en
37141,en
9382,fr
6715,en
18256,en
22625,en
2292,en
1909,en
8984,de
61813,ro
4954,en
62488,en
10531,en
11929,fr
8467,en
10451,id
20156,ms
18395,en
522,it
397,ja
10525,ru
27985,en
15789,fr
27303,en
21183,ja
10954,en
47867,en
43475,en
72031,en
14275,en
1024,en
17207,en
13701,en
14819,en
32631,en
11777,ru
628,en
87729,de
18713,en
6280,en
9061,es
37108,en
6071,ru
11,en
9587,en
19101,en
49980,en
17961,en
18183,
4476,en
11008,en
47504,en
32325,en
43742,hu
28313,en
11318,en
3036,fr
40490,en
24070,en
8986,en
10510,en
17402,es
38722,en
8438,en
11593,en
1945,en
39310,en
109560,de
56428,es
63105,en
131957,cn
241,en
9058,en
527,en
18220,de
6950,ru
101,sq
63020,en
2307,mk
680,en
41478,de
25296,fr
40156,fr
11450,es
30304,en
10452,en
12106,en
161495,en
3586,en
110,it
108,sv
109,en
159185,en
36357,en
92769,en
28033,en
22586,en
14334,en
2636,en
2164,en
11395,en
278,zh
9905,en
87078,he
12527,en
20306,en
36614,fr
27993,en
31439,en
9067,en
9059,en
193,en
25066,en
46797,fr
12122,en
11381,en
32636,en
36141,en
95963,en
1587,en
9271,ru
2064,en
19855,en
60855,en
236,fr
48287,de
3049,en
2759,de
12635,en
10497,fr
11382,en
9331,en
10731,en
10464,en
34152,en
9495,en
29973,en
888,en
13,de
712,fr
16295,en
48992,fr
10879,en
10660,fr
10714,en
41647,es
8587,kw
1689,en
11596,en
854,en
9359,en
23333,es
36593,en
12280,en
2788,en
10427,en
11011,en
49803,en
8987,en
1637,en
15128,en
8831,en
36955,es
10449,en
10395,cs
12160,en
40480,hu
52038,en
29444,en
26352,en
39953,cn
41580,en
315,en
22067,en
18242,en
11667,nv
32502,ja
267188,en
28732,en
75555,mi
42981,en
278939,en
291731,ko
226229,fr
203119,en
172923,en
316098,en
8011,en
171857,es
2654,fr
18069,en
19092,en
2758,zh
38129,en
10436,en
13595,tl
46094,en
9409,ja
11853,fr
16771,it
46924,en
11041,en
306,fr
14522,it
26203,ru
178,es
19819,en
57834,fr
4722,fr
18215,pl
1607,fr
26391,hu
117553,pl
6075,zh
11310,en
18658,en
9350,en
9612,en
2124,en
26261,ga
19176,en
49299,en
11566,no
9571,sv
9739,en
24257,en
34444,en
26141,en
10997,es
50463,en
10443,en
20239,en
16297,de
18551,zh
25440,en
9024,en
37233,en
1634,en
13815,en
5503,en
35588,en
2087,en
41579,en
18620,en
41006,en
4916,en
2019,en
31642,en
9255,cn
26271,en
10612,en
2259,en
16097,en
11934,en
106143,en
12475,fr
9386,de
7984,ru
59930,fr
15765,en
31643,en
6,en
329,en
10909,en
507,fr
34024,en
29918,en
9593,en
42580,en
22317,en
1413,en
12121,en
2246,en
10502,es
10440,en
9516,fr
2320,en
5879,en
83718,sk
11971,de
2625,en
31911,en
788,en
21450,sv
11231,en
41588,en
10447,en
31586,en
9300,en
9559,en
9800,en
713,en
8291,la
18133,en
25557,en
22588,en
10872,en
1245,en
11858,en
7007,fr
10467,ar
5550,de
8005,en
2088,fr
10412,vi
47889,en
14534,en
56583,en
41878,en
424,en
35233,en
14291,en
103413,fr
11236,en
11592,en
8850,en
10445,en
695,ja
43535,en
12519,
23210,en
858,en
867,
78,en
13203,en
10442,en
11074,en
33367,
9607,
17585,en
9057,
20967,en
10635,en
9479,fr
10057,en
11969,en
41590,en
319,en
26408,it
15139,en
161158,en
218473,en
85247,en
11446,ru
51980,es
24405,en
11655,en
11800,gd
8223,en
14587,en
31504,en
41653,en
53185,en
95743,en
23637,fr
17600,en
10897,en
349394,en
21352,en
68806,it
37345,en
32562,en
47507,en
25403,es
124304,en
9066,it
771,ru
251,en
812,en
280,en
581,cs
80350,en
268,en
274,hu
408,en
10020,en
10895,en
