title,runtime,release_year
Toy Story,81.0,1995
Jumanji,104.0,1995
Grumpier Old Men,101.0,1995
Waiting to Exhale,127.0,1995
Father of the Bride Part II,106.0,1995
Heat,170.0,1995
Sabrina,127.0,1995
Tom and Huck,97.0,1995
Sudden Death,106.0,1995
GoldenEye,130.0,1995
The American President,106.0,1995
Dracula: Dead and Loving It,88.0,1995
Balto,78.0,1995
Nixon,192.0,1995
Cutthroat Island,119.0,1995
Casino,178.0,1995
Sense and Sensibility,136.0,1995
Four Rooms,98.0,1995
Ace Ventura: When Nature Calls,90.0,1995
Money Train,103.0,1995
Get Shorty,105.0,1995
Copycat,124.0,1995
Assassins,132.0,1995
Powder,111.0,1995
Leaving Las Vegas,112.0,1995
Othello,123.0,1995
Now and Then,100.0,1995
Persuasion,104.0,1995
The City of Lost Children,108.0,1995
Shanghai Triad,108.0,1995
Dangerous Minds,99.0,1995
Twelve Monkeys,129.0,1995
Wings of Courage,50.0,1996
Babe,89.0,1995
Carrington,121.0,1995
Dead Man Walking,122.0,1995
Across the Sea of Time,51.0,1995
It Takes Two,101.0,1995
Clueless,97.0,1995
"Cry, the Beloved Country",106.0,1995
Richard III,104.0,1995
Dead Presidents,119.0,1995
Restoration,117.0,1995
Mortal Kombat,101.0,1995
To Die For,106.0,1995
How To Make An American Quilt,116.0,1995
Se7en,127.0,1995
Pocahontas,81.0,1995
When Night Is Falling,96.0,1995
The Usual Suspects,106.0,1995
Guardian Angel,93.0,1994
Mighty Aphrodite,95.0,1995
Lamerica,116.0,1994
The Big Green,100.0,1995
Georgia,115.0,1995
Kids of the Round Table,89.0,1997
Home for the Holidays,103.0,1995
The Postman,108.0,1994
The Confessional,100.0,1995
The Indian in the Cupboard,96.0,1995
Eye for an Eye,101.0,1996
Mr. Holland's Opus,137.0,1995
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89.0,1996
Two If by Sea,96.0,1996
Bio-Dome,88.0,1996
Lawnmower Man 2: Beyond Cyberspace,92.0,1996
Two Bits,85.0,1995
French Twist,95.0,1995
Friday,91.0,1995
From Dusk Till Dawn,108.0,1996
Fair Game,91.0,1995
Kicking and Screaming,96.0,1995
Les Miserables,175.0,1995
Bed of Roses,87.0,1996
Big Bully,90.0,1996
Screamers,108.0,1995
Nico Icon,70.0,1995
The Crossing Guard,111.0,1995
The Juror,118.0,1996
The White Balloon,85.0,1995
Things to Do in Denver When You're Dead,116.0,1995
Antonia's Line,102.0,1995
Once Upon a Time... When We Were Colored,115.0,1996
Last Summer in the Hamptons,108.0,1995
Angels and Insects,118.0,1995
White Squall,129.0,1996
Dunston Checks In,88.0,1996
Black Sheep,87.0,1996
Nick of Time,90.0,1995
The Journey of August King,91.0,1995
Mary Reilly,104.0,1996
Vampire in Brooklyn,100.0,1995
Beautiful Girls,112.0,1996
Broken Arrow,108.0,1996
A Midwinter's Tale,99.0,1995
La Haine,98.0,1995
Shopping,105.0,1994
Heidi Fleiss: Hollywood Madam,106.0,1995
City Hall,111.0,1996
Bottle Rocket,91.0,1996
Mr. Wrong,96.0,1996
Unforgettable,106.0,1996
Happy Gilmore,92.0,1996
The Bridges of Madison County,135.0,1995
Nobody Loves Me,104.0,1994
Muppet Treasure Island,100.0,1996
Catwalk,95.0,1995
Headless Body in Topless Bar,110.0,1995
Braveheart,177.0,1995
Taxi Driver,114.0,1976
Rumble in the Bronx,91.0,1995
Before and After,108.0,1996
Margaret's Museum,114.0,1995
Happiness Is in the Field,106.0,1995
Anne Frank Remembered,117.0,1995
The Young Poisoner's Handbook,99.0,1995
If Lucy Fell,92.0,1996
Steal Big Steal Little,113.0,1995
Race the Sun,100.0,1996
The Boys of St. Vincent,90.0,1992
Boomerang,117.0,1992
Chungking Express,102.0,1994
The Star Maker,113.0,1995
Flirting with Disaster,92.0,1996
The Neverending Story III: Escape from Fantasia,95.0,1994
The Silences of the Palace,116.0,1994
Jupiter's Wife,87.0,1995
Pie in the Sky,95.0,1996
Angela,99.0,1995
Frankie Starlight,101.0,1995
Jade,95.0,1995
Nueba Yol,102.0,1995
Sonic Outlaws,87.0,1995
Down Periscope,92.0,1996
From the Journals of Jean Seberg,97.0,1995
Man of the Year,86.0,1995
The Neon Bible,91.0,1995
Target,122.0,1995
Up Close & Personal,119.0,1996
The Birdcage,117.0,1996
Virgin Mary,125.0,1995
The Brothers McMullen,98.0,1995
Bad Boys,118.0,1995
The Amazing Panda Adventure,81.0,1995
The Basketball Diaries,102.0,1995
An Awfully Big Adventure,113.0,1995
Amateur,105.0,1994
Apollo 13,140.0,1995
Rob Roy,139.0,1995
The Addiction,82.0,1995
Batman Forever,121.0,1995
Belle de Jour,101.0,1967
Beyond Rangoon,100.0,1995
Blue in the Face,83.0,1995
